 STATE_11123:0 "Daxinganling"
 STATE_11884:0 "Sarkand"
 STATE_11885:0 "Cherlak"
 STATE_11886:0 "Uglovsky"
 STATE_11887:0 "Rubtsovsk"
 STATE_11888:0 "Zhelezin"
 STATE_11889:0 "Muynak"
 STATE_11890:0 "Plast"
 STATE_11891:0 "Samarkand"
 STATE_11892:0 "Qarshi"
 STATE_11893:0 "Troitsk"
